                               Labor Force Data by County, 2022 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0105500000000   01     055   Etowah County, AL                                 2022        39,123       37,967      1,156      3.0
CN0105700000000   01     057   Fayette County, AL                                2022         6,583        6,408        175      2.7
CN0105900000000   01     059   Franklin County, AL                               2022        14,532       14,200        332      2.3
CN0106100000000   01     061   Geneva County, AL                                 2022        11,187       10,925        262      2.3
CN0106300000000   01     063   Greene County, AL                                 2022         2,757        2,641        116      4.2
CN0106500000000   01     065   Hale County, AL                                   2022         5,940        5,714        226      3.8
CN0106700000000   01     067   Henry County, AL                                  2022         7,003        6,817        186      2.7
CN0106900000000   01     069   Houston County, AL                                2022        47,661       46,452      1,209      2.5
CN0107100000000   01     071   Jackson County, AL                                2022        23,233       22,666        567      2.4
CN0107300000000   01     073   Jefferson County, AL                              2022       321,927      313,808      8,119      2.5
CN0107500000000   01     075   Lamar County, AL                                  2022         5,711        5,561        150      2.6
CN0107700000000   01     077   Lauderdale County, AL                             2022        42,754       41,654      1,100      2.6
CN0107900000000   01     079   Lawrence County, AL                               2022        14,691       14,346        345      2.3
CN0108100000000   01     081   Lee County, AL                                    2022        78,872       77,053      1,819      2.3
CN0108300000000   01     083   Limestone County, AL                              2022        48,438       47,454        984      2.0
CN0108500000000   01     085   Lowndes County, AL                                2022         3,486        3,309        177      5.1
CN0108700000000   01     087   Macon County, AL                                  2022         7,824        7,533        291      3.7
CN0108900000000   01     089   Madison County, AL                                2022       199,682      195,558      4,124      2.1
CN0109100000000   01     091   Marengo County, AL                                2022         7,626        7,374        252      3.3
CN0109300000000   01     093   Marion County, AL                                 2022        13,786       13,452        334      2.4
CN0109500000000   01     095   Marshall County, AL                               2022        45,445       44,538        907      2.0
CN0109700000000   01     097   Mobile County, AL                                 2022       189,712      183,641      6,071      3.2
CN0109900000000   01     099   Monroe County, AL                                 2022         7,267        6,976        291      4.0
CN0110100000000   01     101   Montgomery County, AL                             2022       106,639      103,432      3,207      3.0
CN0110300000000   01     103   Morgan County, AL                                 2022        60,647       59,410      1,237      2.0
CN0110500000000   01     105   Perry County, AL                                  2022         3,071        2,914        157      5.1
CN0110700000000   01     107   Pickens County, AL                                2022         7,658        7,415        243      3.2
CN0110900000000   01     109   Pike County, AL                                   2022        15,988       15,559        429      2.7
CN0111100000000   01     111   Randolph County, AL                               2022         9,628        9,397        231      2.4
CN0111300000000   01     113   Russell County, AL                                2022        23,359       22,759        600      2.6
CN0111500000000   01     115   St. Clair County, AL                              2022        42,036       41,134        902      2.1
CN0111700000000   01     117   Shelby County, AL                                 2022       120,856      118,695      2,161      1.8
CN0111900000000   01     119   Sumter County, AL                                 2022         4,568        4,411        157      3.4
CN0112100000000   01     121   Talladega County, AL                              2022        36,207       35,115      1,092      3.0
CN0112300000000   01     123   Tallapoosa County, AL                             2022        17,517       17,028        489      2.8
CN0112500000000   01     125   Tuscaloosa County, AL                             2022       103,171      100,623      2,548      2.5
CN0112700000000   01     127   Walker County, AL                                 2022        25,457       24,772        685      2.7
CN0112900000000   01     129   Washington County, AL                             2022         6,514        6,282        232      3.6
CN0113100000000   01     131   Wilcox County, AL                                 2022         2,529        2,337        192      7.6
CN0113300000000   01     133   Winston County, AL                                2022        10,121        9,878        243      2.4
CN0201300000000   02     013   Aleutians East Borough, AK                        2022         2,400        2,351         49      2.0
CN0201600000000   02     016   Aleutians West Census Area, AK                    2022         3,433        3,322        111      3.2
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2022       149,832      144,596      5,236      3.5
CN0205000000000   02     050   Bethel Census Area, AK                            2022         6,621        6,007        614      9.3
CN0206000000000   02     060   Bristol Bay Borough, AK                           2022           417          399         18      4.3
CN0206300000000   02     063   Chugach Census Area, AK                           2022         3,380        3,280        100      3.0
CN0206600000000   02     066   Copper River Census Area, AK                      2022         1,406        1,271        135      9.6
CN0206800000000   02     068   Denali Borough, AK                                2022           991          926         65      6.6
CN0207000000000   02     070   Dillingham Census Area, AK                        2022         1,656        1,559         97      5.9
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2022        45,088       43,353      1,735      3.8
CN0210000000000   02     100   Haines Borough, AK                                2022         1,064          991         73      6.9
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2022         1,248        1,176         72      5.8
CN0211000000000   02     110   Juneau Borough/city, AK                           2022        17,267       16,765        502      2.9
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2022        27,944       26,624      1,320      4.7
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2022         6,763        6,496        267      3.9
CN0215000000000   02     150   Kodiak Island Borough, AK                         2022         5,941        5,671        270      4.5
CN0215800000000   02     158   Kusilvak Census Area, AK                          2022         2,245        1,942        303     13.5
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2022           647          609         38      5.9
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2022        49,476       47,084      2,392      4.8
CN0218000000000   02     180   Nome Census Area, AK                              2022         4,093        3,798        295      7.2
CN0218500000000   02     185   North Slope Borough, AK                           2022         2,950        2,794        156      5.3
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2022         2,722        2,462        260      9.6
CN0219500000000   02     195   Petersburg Borough, AK                            2022         1,423        1,336         87      6.1
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2022         2,680        2,526        154      5.7
CN0222000000000   02     220   Sitka Borough/city, AK                            2022         4,509        4,379        130      2.9
CN0223000000000   02     230   Skagway Municipality, AK                          2022           769          717         52      6.8
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2022         3,214        3,039        175      5.4
CN0227500000000   02     275   Wrangell Borough/city, AK                         2022           875          828         47      5.4
CN0228200000000   02     282   Yakutat Borough/city, AK                          2022           313          297         16      5.1
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2022         2,325        2,132        193      8.3
CN0400100000000   04     001   Apache County, AZ                                 2022        18,361       16,938      1,423      7.8
CN0400300000000   04     003   Cochise County, AZ                                2022        48,730       46,597      2,133      4.4
CN0400500000000   04     005   Coconino County, AZ                               2022        73,616       70,437      3,179      4.3
CN0400700000000   04     007   Gila County, AZ                                   2022        20,361       19,518        843      4.1
CN0400900000000   04     009   Graham County, AZ                                 2022        16,158       15,585        573      3.5
CN0401100000000   04     011   Greenlee County, AZ                               2022         4,645        4,510        135      2.9
CN0401200000000   04     012   La Paz County, AZ                                 2022         8,869        8,454        415      4.7
CN0401300000000   04     013   Maricopa County, AZ                               2022     2,371,901    2,293,121     78,780      3.3
CN0401500000000   04     015   Mohave County, AZ                                 2022        89,078       85,048      4,030      4.5
CN0401700000000   04     017   Navajo County, AZ                                 2022        39,515       37,479      2,036      5.2
CN0401900000000   04     019   Pima County, AZ                                   2022       486,536      468,109     18,427      3.8
CN0402100000000   04     021   Pinal County, AZ                                  2022       198,462      190,831      7,631      3.8
CN0402300000000   04     023   Santa Cruz County, AZ                             2022        18,708       17,298      1,410      7.5
CN0402500000000   04     025   Yavapai County, AZ                                2022       107,069      103,377      3,692      3.4
CN0402700000000   04     027   Yuma County, AZ                                   2022        97,522       85,370     12,152     12.5
CN0500100000000   05     001   Arkansas County, AR                               2022         9,199        8,904        295      3.2
CN0500300000000   05     003   Ashley County, AR                                 2022         6,658        6,299        359      5.4
CN0500500000000   05     005   Baxter County, AR                                 2022        16,365       15,796        569      3.5
CN0500700000000   05     007   Benton County, AR                                 2022       151,087      147,613      3,474      2.3
CN0500900000000   05     009   Boone County, AR                                  2022        15,719       15,278        441      2.8
CN0501100000000   05     011   Bradley County, AR                                2022         4,059        3,863        196      4.8
CN0501300000000   05     013   Calhoun County, AR                                2022         2,345        2,274         71      3.0
CN0501500000000   05     015   Carroll County, AR                                2022        12,370       12,015        355      2.9
CN0501700000000   05     017   Chicot County, AR                                 2022         2,971        2,792        179      6.0
CN0501900000000   05     019   Clark County, AR                                  2022         8,436        8,066        370      4.4
CN0502100000000   05     021   Clay County, AR                                   2022         5,400        5,191        209      3.9
CN0502300000000   05     023   Cleburne County, AR                               2022         8,909        8,543        366      4.1
CN0502500000000   05     025   Cleveland County, AR                              2022         3,069        2,954        115      3.7
CN0502700000000   05     027   Columbia County, AR                               2022         8,691        8,321        370      4.3
CN0502900000000   05     029   Conway County, AR                                 2022         8,333        8,030        303      3.6
CN0503100000000   05     031   Craighead County, AR                              2022        57,007       55,481      1,526      2.7
CN0503300000000   05     033   Crawford County, AR                               2022        26,156       25,343        813      3.1
CN0503500000000   05     035   Crittenden County, AR                             2022        20,422       19,620        802      3.9
CN0503700000000   05     037   Cross County, AR                                  2022         6,903        6,656        247      3.6
CN0503900000000   05     039   Dallas County, AR                                 2022         2,696        2,591        105      3.9
CN0504100000000   05     041   Desha County, AR                                  2022         4,885        4,633        252      5.2
CN0504300000000   05     043   Drew County, AR                                   2022         7,369        7,054        315      4.3
CN0504500000000   05     045   Faulkner County, AR                               2022        63,082       61,301      1,781      2.8
CN0504700000000   05     047   Franklin County, AR                               2022         7,361        7,122        239      3.2
CN0504900000000   05     049   Fulton County, AR                                 2022         4,948        4,785        163      3.3
CN0505100000000   05     051   Garland County, AR                                2022        41,483       39,936      1,547      3.7
CN0505300000000   05     053   Grant County, AR                                  2022         8,457        8,205        252      3.0
CN0505500000000   05     055   Greene County, AR                                 2022        19,555       18,936        619      3.2
CN0505700000000   05     057   Hempstead County, AR                              2022         9,259        8,965        294      3.2
CN0505900000000   05     059   Hot Spring County, AR                             2022        13,683       13,216        467      3.4
CN0506100000000   05     061   Howard County, AR                                 2022         5,334        5,161        173      3.2
CN0506300000000   05     063   Independence County, AR                           2022        16,433       15,897        536      3.3
CN0506500000000   05     065   Izard County, AR                                  2022         4,437        4,214        223      5.0
CN0506700000000   05     067   Jackson County, AR                                2022         5,435        5,173        262      4.8
CN0506900000000   05     069   Jefferson County, AR                              2022        25,461       24,176      1,285      5.0
CN0507100000000   05     071   Johnson County, AR                                2022         9,966        9,565        401      4.0
CN0507300000000   05     073   Lafayette County, AR                              2022         2,289        2,183        106      4.6
CN0507500000000   05     075   Lawrence County, AR                               2022         6,757        6,522        235      3.5
CN0507700000000   05     077   Lee County, AR                                    2022         2,552        2,439        113      4.4
CN0507900000000   05     079   Lincoln County, AR                                2022         3,680        3,521        159      4.3
CN0508100000000   05     081   Little River County, AR                           2022         5,140        4,947        193      3.8
CN0508300000000   05     083   Logan County, AR                                  2022         8,232        7,927        305      3.7
CN0508500000000   05     085   Lonoke County, AR                                 2022        34,233       33,300        933      2.7
CN0508700000000   05     087   Madison County, AR                                2022         7,763        7,577        186      2.4
CN0508900000000   05     089   Marion County, AR                                 2022         6,205        5,979        226      3.6
CN0509100000000   05     091   Miller County, AR                                 2022        18,528       17,824        704      3.8
CN0509300000000   05     093   Mississippi County, AR                            2022        16,167       15,340        827      5.1
CN0509500000000   05     095   Monroe County, AR                                 2022         2,520        2,411        109      4.3
CN0509700000000   05     097   Montgomery County, AR                             2022         2,846        2,714        132      4.6
CN0509900000000   05     099   Nevada County, AR                                 2022         3,408        3,278        130      3.8
CN0510100000000   05     101   Newton County, AR                                 2022         3,167        3,075         92      2.9
CN0510300000000   05     103   Ouachita County, AR                               2022         9,550        9,188        362      3.8
CN0510500000000   05     105   Perry County, AR                                  2022         4,219        4,072        147      3.5
CN0510700000000   05     107   Phillips County, AR                               2022         5,475        5,137        338      6.2
CN0510900000000   05     109   Pike County, AR                                   2022         4,028        3,883        145      3.6
CN0511100000000   05     111   Poinsett County, AR                               2022         9,880        9,555        325      3.3
CN0511300000000   05     113   Polk County, AR                                   2022         7,779        7,502        277      3.6
CN0511500000000   05     115   Pope County, AR                                   2022        27,351       26,322      1,029      3.8
CN0511700000000   05     117   Prairie County, AR                                2022         3,504        3,403        101      2.9
CN0511900000000   05     119   Pulaski County, AR                                2022       189,421      183,068      6,353      3.4
CN0512100000000   05     121   Randolph County, AR                               2022         7,147        6,911        236      3.3
CN0512300000000   05     123   St. Francis County, AR                            2022         7,542        7,186        356      4.7
CN0512500000000   05     125   Saline County, AR                                 2022        59,981       58,390      1,591      2.7
CN0512700000000   05     127   Scott County, AR                                  2022         4,184        4,070        114      2.7
CN0512900000000   05     129   Searcy County, AR                                 2022         2,826        2,702        124      4.4
CN0513100000000   05     131   Sebastian County, AR                              2022        54,978       53,329      1,649      3.0
CN0513300000000   05     133   Sevier County, AR                                 2022         5,355        5,152        203      3.8
CN0513500000000   05     135   Sharp County, AR                                  2022         5,767        5,536        231      4.0
CN0513700000000   05     137   Stone County, AR                                  2022         4,505        4,322        183      4.1
CN0513900000000   05     139   Union County, AR                                  2022        14,663       13,979        684      4.7
CN0514100000000   05     141   Van Buren County, AR                              2022         5,906        5,661        245      4.1
CN0514300000000   05     143   Washington County, AR                             2022       133,513      130,518      2,995      2.2
CN0514500000000   05     145   White County, AR                                  2022        33,928       32,772      1,156      3.4
CN0514700000000   05     147   Woodruff County, AR                               2022         2,773        2,678         95      3.4
CN0514900000000   05     149   Yell County, AR                                   2022         7,841        7,548        293      3.7
CN0600100000000   06     001   Alameda County, CA                                2022       819,817      792,342     27,475      3.4
CN0600300000000   06     003   Alpine County, CA                                 2022           495          467         28      5.7
CN0600500000000   06     005   Amador County, CA                                 2022        14,281       13,640        641      4.5
CN0600700000000   06     007   Butte County, CA                                  2022        91,513       87,374      4,139      4.5
CN0600900000000   06     009   Calaveras County, CA                              2022        22,093       21,275        818      3.7
CN0601100000000   06     011   Colusa County, CA                                 2022        10,199        9,000      1,199     11.8
CN0601300000000   06     013   Contra Costa County, CA                           2022       547,625      528,017     19,608      3.6
CN0601500000000   06     015   Del Norte County, CA                              2022         9,286        8,801        485      5.2
CN0601700000000   06     017   El Dorado County, CA                              2022        92,350       89,173      3,177      3.4
CN0601900000000   06     019   Fresno County, CA                                 2022       450,096      420,893     29,203      6.5
CN0602100000000   06     021   Glenn County, CA                                  2022        12,756       12,062        694      5.4
CN0602300000000   06     023   Humboldt County, CA                               2022        59,089       56,694      2,395      4.1
CN0602500000000   06     025   Imperial County, CA                               2022        69,936       59,517     10,419     14.9
CN0602700000000   06     027   Inyo County, CA                                   2022         8,158        7,849        309      3.8
CN0602900000000   06     029   Kern County, CA                                   2022       389,174      361,729     27,445      7.1
CN0603100000000   06     031   Kings County, CA                                  2022        56,169       52,180      3,989      7.1
CN0603300000000   06     033   Lake County, CA                                   2022        28,370       26,937      1,433      5.1
CN0603500000000   06     035   Lassen County, CA                                 2022         8,701        8,297        404      4.6
CN0603700000000   06     037   Los Angeles County, CA                            2022     5,013,363    4,764,528    248,835      5.0
CN0603900000000   06     039   Madera County, CA                                 2022        62,934       59,007      3,927      6.2
CN0604100000000   06     041   Marin County, CA                                  2022       131,097      127,573      3,524      2.7
CN0604300000000   06     043   Mariposa County, CA                               2022         7,252        6,923        329      4.5
CN0604500000000   06     045   Mendocino County, CA                              2022        36,991       35,444      1,547      4.2
CN0604700000000   06     047   Merced County, CA                                 2022       115,390      106,429      8,961      7.8
CN0604900000000   06     049   Modoc County, CA                                  2022         3,176        3,000        176      5.5
CN0605100000000   06     051   Mono County, CA                                   2022         8,611        8,284        327      3.8
CN0605300000000   06     053   Monterey County, CA                               2022       217,156      203,927     13,229      6.1
CN0605500000000   06     055   Napa County, CA                                   2022        70,453       68,149      2,304      3.3
CN0605700000000   06     057   Nevada County, CA                                 2022        48,062       46,383      1,679      3.5
CN0605900000000   06     059   Orange County, CA                                 2022     1,579,268    1,528,545     50,723      3.2
CN0606100000000   06     061   Placer County, CA                                 2022       191,660      185,671      5,989      3.1
CN0606300000000   06     063   Plumas County, CA                                 2022         7,353        6,866        487      6.6
CN0606500000000   06     065   Riverside County, CA                              2022     1,145,702    1,097,218     48,484      4.2
CN0606700000000   06     067   Sacramento County, CA                             2022       720,302      691,493     28,809      4.0
CN0606900000000   06     069   San Benito County, CA                             2022        32,217       30,578      1,639      5.1
CN0607100000000   06     071   San Bernardino County, CA                         2022     1,002,951      961,203     41,748      4.2
CN0607300000000   06     073   San Diego County, CA                              2022     1,578,463    1,523,260     55,203      3.5
CN0607500000000   06     075   San Francisco County/city, CA                     2022       567,632      552,887     14,745      2.6
CN0607700000000   06     077   San Joaquin County, CA                            2022       342,165      323,905     18,260      5.3
CN0607900000000   06     079   San Luis Obispo County, CA                        2022       135,812      131,625      4,187      3.1
CN0608100000000   06     081   San Mateo County, CA                              2022       449,439      438,377     11,062      2.5
CN0608300000000   06     083   Santa Barbara County, CA                          2022       216,446      208,544      7,902      3.7
CN0608500000000   06     085   Santa Clara County, CA                            2022     1,031,488    1,003,697     27,791      2.7
CN0608700000000   06     087   Santa Cruz County, CA                             2022       132,690      126,244      6,446      4.9
CN0608900000000   06     089   Shasta County, CA                                 2022        72,482       69,099      3,383      4.7
CN0609100000000   06     091   Sierra County, CA                                 2022         1,312        1,257         55      4.2
CN0609300000000   06     093   Siskiyou County, CA                               2022        16,531       15,573        958      5.8
CN0609500000000   06     095   Solano County, CA                                 2022       200,869      192,263      8,606      4.3
CN0609700000000   06     097   Sonoma County, CA                                 2022       246,535      238,693      7,842      3.2
CN0609900000000   06     099   Stanislaus County, CA                             2022       240,829      227,552     13,277      5.5
CN0610100000000   06     101   Sutter County, CA                                 2022        45,931       42,859      3,072      6.7
CN0610300000000   06     103   Tehama County, CA                                 2022        25,538       24,277      1,261      4.9
CN0610500000000   06     105   Trinity County, CA                                2022         4,515        4,303        212      4.7
CN0610700000000   06     107   Tulare County, CA                                 2022       206,681      189,562     17,119      8.3
CN0610900000000   06     109   Tuolumne County, CA                               2022        19,725       18,829        896      4.5
CN0611100000000   06     111   Ventura County, CA                                2022       411,125      395,761     15,364      3.7
CN0611300000000   06     113   Yolo County, CA                                   2022       107,815      103,368      4,447      4.1
CN0611500000000   06     115   Yuba County, CA                                   2022        31,276       29,515      1,761      5.6
CN0800100000000   08     001   Adams County, CO                                  2022       281,314      271,745      9,569      3.4
CN0800300000000   08     003   Alamosa County, CO                                2022         8,101        7,801        300      3.7
CN0800500000000   08     005   Arapahoe County, CO                               2022       374,389      362,728     11,661      3.1
CN0800700000000   08     007   Archuleta County, CO                              2022         6,880        6,659        221      3.2
CN0800900000000   08     009   Baca County, CO                                   2022         2,047        2,011         36      1.8
CN0801100000000   08     011   Bent County, CO                                   2022         1,755        1,692         63      3.6
CN0801300000000   08     013   Boulder County, CO                                2022       200,348      195,221      5,127      2.6
CN0801400000000   08     014   Broomfield County/city, CO                        2022        42,376       41,261      1,115      2.6
CN0801500000000   08     015   Chaffee County, CO                                2022         9,725        9,457        268      2.8
CN0801700000000   08     017   Cheyenne County, CO                               2022         1,043        1,023         20      1.9
CN0801900000000   08     019   Clear Creek County, CO                            2022         6,143        5,961        182      3.0
CN0802100000000   08     021   Conejos County, CO                                2022         3,931        3,802        129      3.3
CN0802300000000   08     023   Costilla County, CO                               2022         1,768        1,694         74      4.2
CN0802500000000   08     025   Crowley County, CO                                2022         1,356        1,304         52      3.8
CN0802700000000   08     027   Custer County, CO                                 2022         2,280        2,211         69      3.0
CN0802900000000   08     029   Delta County, CO                                  2022        13,311       12,828        483      3.6
CN0803100000000   08     031   Denver County/city, CO                            2022       435,257      421,655     13,602      3.1
CN0803300000000   08     033   Dolores County, CO                                2022         1,136        1,102         34      3.0
CN0803500000000   08     035   Douglas County, CO                                2022       207,198      201,951      5,247      2.5
CN0803700000000   08     037   Eagle County, CO                                  2022        34,657       33,739        918      2.6
CN0803900000000   08     039   Elbert County, CO                                 2022        15,958       15,567        391      2.5
CN0804100000000   08     041   El Paso County, CO                                2022       357,312      345,539     11,773      3.3
CN0804300000000   08     043   Fremont County, CO                                2022        14,292       13,609        683      4.8
CN0804500000000   08     045   Garfield County, CO                               2022        30,770       29,835        935      3.0
CN0804700000000   08     047   Gilpin County, CO                                 2022         3,922        3,813        109      2.8
CN0804900000000   08     049   Grand County, CO                                  2022         9,242        8,991        251      2.7
CN0805100000000   08     051   Gunnison County, CO                               2022        11,316       11,031        285      2.5
CN0805300000000   08     053   Hinsdale County, CO                               2022           424          413         11      2.6
CN0805500000000   08     055   Huerfano County, CO                               2022         2,445        2,294        151      6.2
CN0805700000000   08     057   Jackson County, CO                                2022           956          935         21      2.2
CN0805900000000   08     059   Jefferson County, CO                              2022       342,198      332,572      9,626      2.8
CN0806100000000   08     061   Kiowa County, CO                                  2022           885          868         17      1.9
CN0806300000000   08     063   Kit Carson County, CO                             2022         4,087        4,006         81      2.0
CN0806500000000   08     065   Lake County, CO                                   2022         4,772        4,646        126      2.6
CN0806700000000   08     067   La Plata County, CO                               2022        30,534       29,602        932      3.1
CN0806900000000   08     069   Larimer County, CO                                2022       210,007      204,240      5,767      2.7
CN0807100000000   08     071   Las Animas County, CO                             2022         6,072        5,787        285      4.7
CN0807300000000   08     073   Lincoln County, CO                                2022         2,197        2,134         63      2.9
CN0807500000000   08     075   Logan County, CO                                  2022        10,105        9,821        284      2.8
CN0807700000000   08     077   Mesa County, CO                                   2022        76,276       73,644      2,632      3.5
CN0807900000000   08     079   Mineral County, CO                                2022           454          441         13      2.9
CN0808100000000   08     081   Moffat County, CO                                 2022         6,802        6,584        218      3.2
CN0808300000000   08     083   Montezuma County, CO                              2022        12,213       11,746        467      3.8
CN0808500000000   08     085   Montrose County, CO                               2022        21,117       20,399        718      3.4
CN0808700000000   08     087   Morgan County, CO                                 2022        15,366       14,864        502      3.3
CN0808900000000   08     089   Otero County, CO                                  2022         7,766        7,437        329      4.2
CN0809100000000   08     091   Ouray County, CO                                  2022         2,476        2,398         78      3.2
CN0809300000000   08     093   Park County, CO                                   2022        11,595       11,293        302      2.6
CN0809500000000   08     095   Phillips County, CO                               2022         2,417        2,366         51      2.1
CN0809700000000   08     097   Pitkin County, CO                                 2022        10,553       10,200        353      3.3
CN0809900000000   08     099   Prowers County, CO                                2022         6,068        5,893        175      2.9
CN0810100000000   08     101   Pueblo County, CO                                 2022        75,978       72,567      3,411      4.5
CN0810300000000   08     103   Rio Blanco County, CO                             2022         2,791        2,684        107      3.8
CN0810500000000   08     105   Rio Grande County, CO                             2022         5,251        5,025        226      4.3
CN0810700000000   08     107   Routt County, CO                                  2022        15,543       15,144        399      2.6
CN0810900000000   08     109   Saguache County, CO                               2022         3,333        3,217        116      3.5
CN0811100000000   08     111   San Juan County, CO                               2022           555          540         15      2.7
CN0811300000000   08     113   San Miguel County, CO                             2022         5,531        5,355        176      3.2
CN0811500000000   08     115   Sedgwick County, CO                               2022         1,063        1,034         29      2.7
CN0811700000000   08     117   Summit County, CO                                 2022        21,528       21,042        486      2.3
CN0811900000000   08     119   Teller County, CO                                 2022        13,358       12,954        404      3.0
CN0812100000000   08     121   Washington County, CO                             2022         2,728        2,663         65      2.4
CN0812300000000   08     123   Weld County, CO                                   2022       168,186      162,674      5,512      3.3
CN0812500000000   08     125   Yuma County, CO                                   2022         5,484        5,371        113      2.1
CN0900100000000   09     001   Fairfield County, CT                              2022       482,886      463,244     19,642      4.1
CN0900300000000   09     003   Hartford County, CT                               2022       478,497      458,424     20,073      4.2
CN0900500000000   09     005   Litchfield County, CT                             2022       104,825      100,839      3,986      3.8
CN0900700000000   09     007   Middlesex County, CT                              2022        93,975       90,628      3,347      3.6
CN0900900000000   09     009   New Haven County, CT                              2022       468,085      448,259     19,826      4.2
CN0901100000000   09     011   New London County, CT                             2022       133,574      128,015      5,559      4.2
CN0901300000000   09     013   Tolland County, CT                                2022        86,461       83,265      3,196      3.7
CN0901500000000   09     015   Windham County, CT                                2022        63,708       60,996      2,712      4.3
CN1000100000000   10     001   Kent County, DE                                   2022        80,608       76,631      3,977      4.9
CN1000300000000   10     003   New Castle County, DE                             2022       304,425      291,869     12,556      4.1
CN1000500000000   10     005   Sussex County, DE                                 2022       112,168      107,494      4,674      4.2
CN1100100000000   11     001   District of Columbia                              2022       388,387      369,952     18,435      4.7
CN1200100000000   12     001   Alachua County, FL                                2022       140,531      136,444      4,087      2.9
CN1200300000000   12     003   Baker County, FL                                  2022        12,545       12,186        359      2.9
CN1200500000000   12     005   Bay County, FL                                    2022        86,867       84,437      2,430      2.8
CN1200700000000   12     007   Bradford County, FL                               2022        10,954       10,597        357      3.3
CN1200900000000   12     009   Brevard County, FL                                2022       296,446      287,747      8,699      2.9
CN1201100000000   12     011   Broward County, FL                                2022     1,059,496    1,028,099     31,397      3.0
CN1201300000000   12     013   Calhoun County, FL                                2022         4,803        4,640        163      3.4
CN1201500000000   12     015   Charlotte County, FL                              2022        76,142       73,427      2,715      3.6
CN1201700000000   12     017   Citrus County, FL                                 2022        49,070       46,969      2,101      4.3
CN1201900000000   12     019   Clay County, FL                                   2022       112,112      109,041      3,071      2.7
CN1202100000000   12     021   Collier County, FL                                2022       186,959      181,535      5,424      2.9
CN1202300000000   12     023   Columbia County, FL                               2022        29,366       28,388        978      3.3
CN1202700000000   12     027   DeSoto County, FL                                 2022        13,075       12,608        467      3.6
CN1202900000000   12     029   Dixie County, FL                                  2022         5,833        5,636        197      3.4
